instances,feature_CL,feature_CLD,feature_DCP,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_TD_P,feature_TD_U,feature_Usefulness,feature_kDN,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
22,0.1867504915262943,0.17660189168510387,0.0,0.8409090909090908,0.0,0.9953703703703703,0.8751674060962222,0.0,0.46398440036073174,0.8333333333333334,0.5555555555555556,0.9984567901234568,0.2,0.00977522376761856,0.007481782481514812,0.9350970123911512,5.05616539677386,0.30328198334703205,0.765658865445472,0.015306712238853002
23,0.8360996146242488,0.7773496357169842,0.016064257028112428,0.9090909090909091,0.0,0.9860627177700348,0.9127640895043441,0.0,0.14178222353940018,0.8333333333333334,0.8888888888888888,0.9860627177700348,0.5,0.009430017680903978,0.0025621653903186,0.7376347244944317,0.016027687604147967,0.003983387693419268,0.6882742035754372,0.016588186556947205
24,0.10363201103385578,0.09384007664823019,0.0,0.8409090909090908,0.0,0.9907407407407407,0.8638606143003629,0.0,0.26538375600712527,0.5,0.3333333333333333,0.9922839506172839,0.2,0.006400373644683982,0.017421673823313083,0.7551772471732315,0.015616506382250886,0.002154944819027223,0.7383855269793611,0.01923844123652121
25,0.09281136971776283,0.08670740217666911,0.016064257028112428,0.8863636363636364,0.0010964912280701754,0.9895470383275261,0.9534481045225066,0.5,0.2699454502806169,0.8333333333333334,0.8888888888888888,0.9930313588850174,0.7,0.009446817972106671,0.0012998353886874967,0.8848039436753203,0.014197733860845977,0.00387298950994949,0.9852751447497065,0.0459071151210152
26,0.09977939068759989,0.09210611747027198,0.0,0.8181818181818181,0.0,0.9965156794425087,0.9142387756033944,1.0,0.6744265931871388,1.0,0.6666666666666666,1.0,0.6,0.009387135606255415,0.005818894549951858,1.1918215836977384,0.018315131279162483,0.29414210131770724,0.6428277925568661,0.043312615603957993
27,0.09344562959114322,0.08785371325493524,0.0,0.75,0.0005482456140350877,0.9965156794425087,0.8862621738796002,1.0,0.6286494162790639,1.0,0.6666666666666666,1.0,0.9,0.010138610105316106,0.006404754610636439,0.6460276496410885,0.018315131236328195,0.007151496249992906,1.1072476012959727,0.03868252417020968
28,0.09086354857992718,0.08515552298710799,0.016064257028112428,0.8409090909090908,0.0005482456140350877,0.9895470383275261,0.8858518596694339,0.5,0.17108146296157967,0.8333333333333334,0.8888888888888888,0.9930313588850174,0.6,0.009430017680903978,0.002958709136236027,0.5968303212288895,0.01602769257525847,0.004058379522295159,0.34008910814827725,0.0859319546716558
29,0.3814358935530524,0.3758047699421848,0.016064257028112428,0.9090909090909092,0.0005482456140350877,0.9965156794425087,0.9175383659086199,1.0,0.5259836589301425,0.8333333333333334,1.0,0.9930313588850174,0.7,0.00964074849231215,0.0049836049282552634,0.8846202933777301,0.01602778005674952,0.005653327979932373,0.6452981808484131,0.01602431971424409
30,0.1795848849260414,0.1740101977741207,0.0,0.8409090909090909,0.0,0.9965156794425087,0.8381386413863732,1.0,0.5447898460337277,1.0,0.6666666666666666,0.9930313588850174,0.2,0.030480391404240824,0.009828440887587001,0.7851847934847072,0.28581979638151855,0.006935527528324201,0.5796302861745164,0.033183643127697664
31,0.051711706402905344,0.04618450388946227,0.0035087719298245723,0.8181818181818181,0.0006531678641410843,0.9948275862068966,0.8147765468438999,0.5,0.2574702953093919,0.3333333333333333,0.3333333333333333,0.9982758620689656,0.5,0.006012989789561848,0.0031940803041466993,1.096126791360801,0.0128363203558158,0.009016097207511184,1.4718802401312876,0.02519749042502715
32,0.026622790527830453,0.021070412022102747,0.0035087719298245723,0.8409090909090908,0.0,0.9862068965517241,0.818684725088285,0.0,0.31366031514379444,0.3333333333333333,0.3333333333333333,0.9913793103448276,0.1,0.009065171089592159,0.0016770977676909525,1.037058991839385,0.00991700332243762,0.0032722753791773083,0.641574412083499,0.016481020202009946
33,0.10927907801673231,0.10368952462129016,0.016064257028112428,0.8863636363636365,0.0005482456140350877,0.9965156794425087,0.8262929072282369,1.0,0.5454197889906741,0.8333333333333334,0.8888888888888888,1.0,0.8,0.009863224512919929,0.013864958017348116,0.7662785675601579,5.157790954351936,0.008237599688131425,0.7032467035338738,3.7542713389772975
34,0.026143080283703712,0.02059014394250952,0.0035087719298245723,0.8181818181818181,0.0,0.9948275862068966,0.7683048263841467,0.0,0.19693023601801163,0.3333333333333333,0.3333333333333333,0.9982758620689656,0.5,0.00794012509887992,0.006290711701643339,1.112647070225917,0.013738050769910477,0.0042824422386322555,0.7937476506373151,0.020923567168893695
